idx,eventId,activity,timestamp,timestampVar,box,batchPosition,equipment,log
,e1,LoadAL,01/10/2024 09:00:00,t1,,,5000.0,GeneratedExample
1.0,e2,LoadFS,01/10/2024 09:00:01,t2,,x,5000.0,GeneratedExample
2.0,e3,Fill,01/10/2024 09:00:02,t3,,,5000.0,GeneratedExample
3.0,e4,UnloadFS,01/10/2024 09:00:03,t4,,x,5000.0,GeneratedExample
4.0,e5,LoadSS,01/10/2024 09:00:04,,,x,5000.0,GeneratedExample
5.0,e6,Seal,01/10/2024 09:00:05,t6,b1,,5000.0,GeneratedExample
6.0,e7,UnloadSS,01/10/2024 09:00:06,t7,,x,5000.0,GeneratedExample
7.0,e8,LoadFS,01/10/2024 09:00:07,t8,,y,5000.0,GeneratedExample
8.0,e9,Fill,01/10/2024 09:00:08,t9,,,5000.0,GeneratedExample
9.0,e10,UnloadFS,01/10/2024 09:00:09,t10,,y,5000.0,GeneratedExample
10.0,,LoadSS,01/10/2024 09:00:10,t11,,y,5000.0,GeneratedExample
11.0,e12,Seal,01/10/2024 09:00:11,t12,b2,,5000.0,GeneratedExample
12.0,e13,UnloadSS,01/10/2024 09:00:12,t13,,,5000.0,GeneratedExample
13.0,e14,LoadFS,01/10/2024 09:00:13,t14,,z,5000.0,GeneratedExample
14.0,e15,Fill,01/10/2024 09:00:14,t15,,,5000.0,GeneratedExample
15.0,e16,UnloadFS,01/10/2024 09:00:15,t16,,z,5000.0,GeneratedExample
16.0,e17,LoadSS,01/10/2024 09:00:16,t17,,z,5000.0,GeneratedExample
17.0,e18,Seal,01/10/2024 09:00:17,t18,b3,,5000.0,GeneratedExample
18.0,e19,UnloadSS,01/10/2024 09:00:18,t19,,z,5000.0,GeneratedExample
19.0,e20,UnloadAL,01/10/2024 09:00:19,t20,,,,GeneratedExample
20.0,e21,,01/10/2024 09:00:20,t21,,,4000.0,GeneratedExample
21.0,e22,LoadFS,01/10/2024 09:00:21,t22,,z,4000.0,GeneratedExample
,e23,Fill,01/10/2024 09:00:22,t23,,,4000.0,GeneratedExample
23.0,,UnloadFS,01/10/2024 09:00:23,t24,,z,4000.0,GeneratedExample
24.0,e25,LoadSS,01/10/2024 09:00:24,t25,,z,4000.0,GeneratedExample
25.0,e26,Seal,01/10/2024 09:00:25,t26,b4,,4000.0,GeneratedExample
26.0,,UnloadSS,01/10/2024 09:00:26,t27,,z,4000.0,GeneratedExample
27.0,e28,LoadFS,01/10/2024 09:00:27,t28,,x,4000.0,GeneratedExample
28.0,e29,Fill,01/10/2024 09:00:28,t29,,,4000.0,
29.0,e30,UnloadFS,01/10/2024 09:00:29,t30,,x,4000.0,GeneratedExample
30.0,e31,LoadSS,01/10/2024 09:00:30,t31,,x,4000.0,GeneratedExample
31.0,e32,Seal,01/10/2024 09:00:31,t32,b5,,4000.0,
32.0,e33,UnloadSS,01/10/2024 09:00:32,t33,,x,4000.0,GeneratedExample
33.0,,LoadFS,01/10/2024 09:00:33,t34,,y,4000.0,GeneratedExample
34.0,e35,Fill,01/10/2024 09:00:34,t35,,,4000.0,GeneratedExample
35.0,e36,UnloadFS,01/10/2024 09:00:35,t36,,y,4000.0,GeneratedExample
36.0,e37,LoadSS,01/10/2024 09:00:36,t37,,y,4000.0,GeneratedExample
37.0,e38,Seal,01/10/2024 09:00:37,t38,b6,,4000.0,
38.0,e39,,01/10/2024 09:00:38,t39,,y,4000.0,GeneratedExample
39.0,e40,UnloadAL,01/10/2024 09:00:39,t40,,,,GeneratedExample
40.0,e41,LoadAL,01/10/2024 09:00:40,t41,,,9111.0,GeneratedExample
41.0,e42,LoadFS,01/10/2024 09:00:41,t42,,y,9111.0,GeneratedExample
42.0,e43,Fill,01/10/2024 09:00:42,t43,,,9111.0,GeneratedExample
43.0,e44,UnloadFS,01/10/2024 09:00:43,,,y,9111.0,GeneratedExample
44.0,e45,LoadSS,01/10/2024 09:00:44,t45,,,9111.0,GeneratedExample
45.0,e46,Seal,01/10/2024 09:00:45,t46,b7,,9111.0,GeneratedExample
46.0,e47,UnloadSS,01/10/2024 09:00:46,t47,,y,9111.0,
47.0,e48,LoadFS,01/10/2024 09:00:47,t48,,z,9111.0,GeneratedExample
48.0,e49,Fill,01/10/2024 09:00:48,t49,,,9111.0,GeneratedExample
